Timestamp,Energy_Consumption_kWh,Holiday_Indicator,Weekday,Temperature_C,Humidity_%,Wind_Speed_mps,Solar_Radiation_Wm2,Industrial_Usage_kWh,Residential_Usage_kWh,Commercial_Usage_kWh,Grid_Frequency_Hz,Voltage_Level_V,Renewable_Energy_Contribution_%
2019-01-01 00:00:00,559.00550609878,0,1,5.4,99.3081181575721,0.0,0.0,224.4328347457837,201.16221028620689,91.35098574792237,49.83327840281634,229.79758087462343,14.892774266053182
2019-01-01 01:00:00,533.7935475365422,0,1,6.5,97.2816063069943,1.8,0.0,210.7558353551254,260.44322964546916,112.3893332273521,50.00856737795534,227.9242081839651,29.817831295887977
2019-01-01 02:00:00,502.51002499589026,0,1,6.7,95.29325312606257,1.8,0.0,374.7903795668856,122.89199643665842,141.70198843470592,50.01107119816534,236.58578417863694,38.253767175050115
2019-01-01 03:00:00,541.540329039386,0,1,6.2,100.0,3.6,0.0,316.15134544897717,130.1691104109391,56.25365300718575,49.67282679008571,227.39829655114775,14.338821272492451
2019-01-01 04:00:00,565.3468432878583,0,1,10.5,77.86392769745257,1.8,0.0,381.51329877910507,149.5893371912211,114.50086159480388,50.09156896948995,228.7349124847807,34.08996855975805
2019-01-01 05:00:00,527.3594881965205,0,1,14.0,64.89776771433623,3.7,0.0,228.70810515362078,145.41580881549672,145.69167568717478,49.87588515858741,230.85406827571225,27.65372818817282
2019-01-01 06:00:00,527.46339928183,0,1,19.2,53.03986298449503,9.4,0.0,305.29579482766417,248.5692764423727,90.87568040236323,50.093872131305424,234.89632027885406,34.28772411170698
2019-01-01 07:00:00,517.9083672838544,0,1,18.9,51.90029195855976,5.5,0.0,362.98727903480915,102.85851877672687,135.66588112528962,50.374788866047815,230.09992185939862,24.416115178814145
2019-01-01 08:00:00,537.698463011401,0,1,20.0,48.14322447517851,5.5,0.0,254.31854722495171,215.59247552661049,85.87634348741761,49.91762462081252,228.73653582995922,10.58032196475153
2019-01-01 09:00:00,526.8448226719067,0,1,22.6,43.9087954166113,3.6,0.0,296.9148856109531,236.6154690160502,52.38756120588308,50.020790773009026,233.22221415002173,17.96337616255152
